Luz,Intensidade,V0,sV0,Metodo
Amarelo,20,-2.1971971971971973,0.028867513459481315,1
Amarelo,20,-0.34097251098797016,0.019662745112637787,2
Amarelo,20,-0.5000000000000039,0.028867513459481315,4
Amarelo,40,-2.2572572572572573,0.028867513459481315,1
Amarelo,40,-0.3390369925937477,0.019174190657099677,2
Amarelo,40,-0.5000000000000039,0.028867513459481315,4
Amarelo,60,-2.2572572572572573,0.028867513459481315,1
Amarelo,60,-0.3542055544687492,0.010908086966902656,2
Amarelo,60,-0.5000000000000039,0.028867513459481315,4
Amarelo,80,-1.9269269269269271,0.028867513459481315,1
Amarelo,80,-0.35468153742344555,0.010605763458783897,2
Amarelo,80,-0.6000000000000039,0.028867513459481315,4
Amarelo,100,-1.816816816816817,0.028867513459481315,1
Amarelo,100,-0.3548124939612318,0.009029322056354887,2
Amarelo,100,-0.6000000000000039,0.028867513459481315,4
Amarelo,,-1.0060060060060059,0.12368203532099208,3
Azul,20,-2.967967967967968,0.028867513459481315,1
Azul,20,-0.5666941146812411,0.030500387380639416,2
Azul,20,-0.700000000000004,0.028867513459481315,4
Azul,40,-2.3373373373373374,0.028867513459481315,1
Azul,40,-0.5236095408543686,0.008084255577037146,2
Azul,40,-0.9000000000000039,0.028867513459481315,4
Azul,60,-1.9869869869869872,0.028867513459481315,1
Azul,60,-0.5067190850726795,0.021305061346347257,2
Azul,60,-1.000000000000004,0.028867513459481315,4
Azul,80,-1.866866866866867,0.028867513459481315,1
Azul,80,-0.4890925682023425,0.01910004341457675,2
Azul,80,-0.9000000000000039,0.028867513459481315,4
Azul,100,-1.7167167167167166,0.028867513459481315,1
Azul,100,-0.48323026656714835,0.018462139825061244,2
Azul,100,-1.000000000000004,0.028867513459481315,4
Azul,,-1.186186186186186,0.012922867354712765,3
UV,20,-3.168168168168168,0.028867513459481315,1
UV,20,-0.6100854448489512,0.012559154301467656,2
UV,20,,,4
UV,40,-3.188188188188188,0.028867513459481315,1
UV,40,-0.6637921343394483,0.038848764467483726,2
UV,40,-0.700000000000004,0.028867513459481315,4
UV,60,-2.967967967967968,0.028867513459481315,1
UV,60,-0.6209074699649352,0.012952942175760544,2
UV,60,-0.8000000000000039,0.028867513459481315,4
UV,80,-2.7477477477477477,0.028867513459481315,1
UV,80,-0.6167771873106059,0.011698940608034374,2
UV,80,-1.1000000000000043,0.028867513459481315,4
UV,100,-2.6476476476476476,0.028867513459481315,1
UV,100,-0.6166216173501362,0.011913300225623001,2
UV,100,-1.1000000000000043,0.028867513459481315,4
UV,,-1.9429429429429432,0.23403737353450552,3
Verde,20,-2.6476476476476476,0.028867513459481315,1
Verde,20,-0.3656743607713424,0.015466616672140797,2
Verde,20,-0.5000000000000039,0.028867513459481315,4
Verde,40,-2.5775775775775776,0.028867513459481315,1
Verde,40,-0.36272036078280945,0.018881555059368952,2
Verde,40,-0.5000000000000039,0.028867513459481315,4
Verde,60,-2.4274274274274275,0.028867513459481315,1
Verde,60,-0.38012047749514805,0.013865205635425914,2
Verde,60,-0.6000000000000039,0.028867513459481315,4
Verde,80,-2.2872872872872874,0.028867513459481315,1
Verde,80,-0.4035758337733538,0.024543949912200214,2
Verde,80,-0.6000000000000039,0.028867513459481315,4
Verde,100,-2.1071071071071072,0.028867513459481315,1
Verde,100,-0.3949783574293677,0.02448471454232864,2
Verde,100,-0.6000000000000039,0.028867513459481315,4
Verde,,-1.2962962962962963,0.16496788047609737,3
Vermelho,40,-1.1261261261261262,0.028867513459481315,1
Vermelho,40,-0.5076983495622234,0.024388617530646677,2
Vermelho,40,,,4
Vermelho,60,-1.4464464464464464,0.028867513459481315,1
Vermelho,60,-0.48148519039940013,0.021843134918642256,2
Vermelho,60,,,4
Vermelho,80,-1.5565565565565564,0.028867513459481315,1
Vermelho,80,-0.45204842615808766,0.023796966053848588,2
Vermelho,80,,,4
Vermelho,100,-1.5265265265265264,0.028867513459481315,1
Vermelho,100,-0.45292668171572503,0.025929417078397014,2
Vermelho,100,,,4
Vermelho,,-2.184684684684685,0.07569811542669753,3
Violeta,20,-2.997997997997998,0.028867513459481315,1
Violeta,20,-0.5449626280361604,0.023086797376365636,2
Violeta,20,-0.6000000000000039,0.028867513459481315,4
Violeta,40,-2.947947947947948,0.028867513459481315,1
Violeta,40,-0.6227702288688192,0.03619042016375703,2
Violeta,40,-0.700000000000004,0.028867513459481315,4
Violeta,60,-2.6976976976976976,0.028867513459481315,1
Violeta,60,-0.5676245059267204,0.007930040952272644,2
Violeta,60,-1.000000000000004,0.028867513459481315,4
Violeta,80,-2.4474474474474475,0.028867513459481315,1
Violeta,80,-0.5639565266479211,0.009285040383212616,2
Violeta,80,-1.000000000000004,0.028867513459481315,4
Violeta,100,-2.3473473473473474,0.028867513459481315,1
Violeta,100,-0.5658094849679349,0.007685171234415945,2
Violeta,100,-1.000000000000004,0.028867513459481315,4
Violeta,,-1.5265265265265264,0.14113759144756405,3
