Luz,Intensidade,V0,sV0,Metodo
amarelo,20,-0.5555555555555554,0.0028867513459481316,1
amarelo,20,-0.3400585600327912,0.0033829263734320636,2
amarelo,20,,,4
amarelo,40,-0.5755755755755754,0.0028867513459481316,1
amarelo,40,-0.33697952987824376,0.003448951846082478,2
amarelo,40,-0.3699999999999991,0.0028867513459481316,4
amarelo,60,-0.5755755755755754,0.0028867513459481316,1
amarelo,60,-0.33648764803865655,0.003440650974260122,2
amarelo,60,-0.3799999999999991,0.0028867513459481316,4
amarelo,80,-0.5855855855855854,0.0028867513459481316,1
amarelo,80,-0.33616515368232924,0.0033793759798543704,2
amarelo,80,-0.15999999999999873,0.0028867513459481316,4
amarelo,100,-0.5855855855855854,0.0028867513459481316,1
amarelo,100,-0.335957725645737,0.0032869732965571156,2
amarelo,100,-0.3999999999999992,0.0028867513459481316,4
amarelo,,-0.6973640306973637,0.14102119091761214,3
azul,20,-1.2962962962962963,0.005773502691896263,1
azul,20,-0.5348035989712885,0.0018570317164496313,2
azul,20,-0.8799999999999985,0.005773502691896263,4
azul,40,-3.378378378378378,0.005773502691896263,1
azul,40,-0.5707752726469292,0.001814957018023626,2
azul,40,-0.8599999999999984,0.005773502691896263,4
azul,60,-1.3163163163163163,0.005773502691896263,1
azul,60,-0.5824546752186631,0.0019160438588392385,2
azul,60,-0.8799999999999985,0.005773502691896263,4
azul,80,-1.3163163163163163,0.005773502691896263,1
azul,80,-0.59134510371623,0.002103772401292144,2
azul,80,-0.8999999999999985,0.005773502691896263,4
azul,100,-1.3163163163163163,0.005773502691896263,1
azul,100,-0.6008219955563942,0.002118760115075718,2
azul,100,-0.9199999999999986,0.005773502691896263,4
azul,,-1.3196529863196529,0.004718763971882197,3
infravermelho,20,-0.36536536536536524,0.0028867513459481316,1
infravermelho,20,-0.29881946128502956,0.5477749071185688,2
infravermelho,20,,,4
infravermelho,40,0.9759759759759756,0.0028867513459481316,1
infravermelho,40,-0.3555028345960777,4.484329432799587,2
infravermelho,40,,,4
infravermelho,60,0.20520520520520513,0.0028867513459481316,1
infravermelho,60,-0.6347331129322595,0.14055315005850585,2
infravermelho,60,,,4
infravermelho,80,0.8658658658658656,0.0028867513459481316,1
infravermelho,80,-0.28492219289133486,0.7744058324863446,2
infravermelho,80,,,4
infravermelho,100,-0.03503503503503502,0.0028867513459481316,1
infravermelho,100,-0.10748261232281435,0.9666056900878313,2
infravermelho,100,,,4
infravermelho,,-0.4020687354020686,0.36150167144243606,3
verde,20,-1.0760760760760761,0.005773502691896263,1
verde,20,-0.46920582059215465,0.0007635569857506241,2
verde,20,-0.8599999999999984,0.005773502691896263,4
verde,40,-1.1161161161161162,0.005773502691896263,1
verde,40,-0.5030498089933068,0.0010108469958127087,2
verde,40,-0.9399999999999986,0.005773502691896263,4
verde,60,-1.1261261261261262,0.005773502691896263,1
verde,60,-0.5137584072494488,0.001182085216144392,2
verde,60,-0.9399999999999986,0.005773502691896263,4
verde,80,-1.1361361361361362,0.005773502691896263,1
verde,80,-0.5239522175647033,0.0013937270461169718,2
verde,80,-0.9599999999999986,0.005773502691896263,4
verde,100,-1.1361361361361362,0.005773502691896263,1
verde,100,-0.527771554336401,0.001429271224193398,2
verde,100,-0.9799999999999986,0.005773502691896263,4
verde,,-1.166166166166166,2.220446049250313e-16,3
vermelho,20,-0.4854854854854853,0.0028867513459481316,1
vermelho,20,-0.3040158927655622,0.004761510640213831,2
vermelho,20,,,4
vermelho,40,-0.4954954954954953,0.0028867513459481316,1
vermelho,40,-0.30940139868503364,0.004978721231717444,2
vermelho,40,,,4
vermelho,60,-0.4954954954954953,0.0028867513459481316,1
vermelho,60,-0.3050813773363138,0.00490351335263117,2
vermelho,60,,,4
vermelho,80,-0.4654654654654653,0.0028867513459481316,1
vermelho,80,-0.3127309299729467,0.004383744812438022,2
vermelho,80,-0.19999999999999882,0.0028867513459481316,4
vermelho,100,-0.4554554554554553,0.0028867513459481316,1
vermelho,100,-0.30928932457176733,0.004444204562404013,2
vermelho,100,-0.23999999999999888,0.0028867513459481316,4
vermelho,,-0.45879212545879194,0.011066482450301632,3
