Tensao [V];Corrente [A]
-5;-3,185955E-10
-4,9;-2,838566E-10
-4,8;-2,625705E-10
-4,7;-2,494717E-10
-4,6;-2,329734E-10
-4,5;-2,225176E-10
-4,4;-2,088292E-10
-4,3;-1,971733E-10
-4,2;-1,838713E-10
-4,1;-1,767019E-10
-4;-1,690709E-10
-3,9;-1,605716E-10
-3,8;-1,493143E-10
-3,7;-1,410318E-10
-3,6;-1,321089E-10
-3,5;-1,236344E-10
-3,4;-1,138805E-10
-3,3;-1,038283E-10
-3,2;-9,89514E-11
-3,1;-9,030477E-11
-3;-8,155031E-11
-2,9;-7,162558E-11
-2,8;-6,345692E-11
-2,7;-5,245237E-11
-2,6;-4,369299E-11
-2,5;-3,20481E-11
-2,4;-2,204165E-11
-2,3;-1,145933E-11
-2,2;-8,832045E-13
-2,1;1,156677E-11
-2;2,097267E-11
-1,9;3,563079E-11
-1,8;5,107158E-11
-1,7;7,120233E-11
-1,6;9,415917E-11
-1,5;1,310632E-10
-1,4;1,854837E-10
-1,3;2,667153E-10
-1,2;3,862623E-10
-1,1;5,471236E-10
-1;7,725343E-10
-0,9;1,047419E-09
-0,8;1,416896E-09
-0,7;1,873691E-09
-0,6;2,62646E-09
-0,5;3,259574E-09
-0,4;4,261903E-09
-0,3;5,49989E-09
-0,2;6,929823E-09
-0,1;8,500042E-09
0;1,018508E-08
0,1;1,192619E-08
0,2;1,362464E-08
0,3;1,53385E-08
0,4;1,693616E-08
0,5;1,856013E-08
0,6;2,007457E-08
0,7;2,223205E-08
0,8;2,367193E-08
0,9;2,49411E-08
1;2,621957E-08
1,1;2,739563E-08
1,2;2,85454E-08
1,3;2,960231E-08
1,4;3,05191E-08
1,5;3,139887E-08
1,6;3,234281E-08
1,7;3,333279E-08
1,8;3,404265E-08
1,9;3,475706E-08
2;3,554755E-08
2,1;3,632756E-08
2,2;3,689837E-08
2,3;3,75443E-08
2,4;3,835558E-08
2,5;3,889105E-08
2,6;3,938234E-08
2,7;3,996923E-08
2,8;4,065426E-08
2,9;4,122631E-08
3;4,171483E-08
3,1;4,218245E-08
3,2;4,260907E-08
3,3;4,307344E-08
3,4;4,360147E-08
3,5;4,403712E-08
3,6;4,440829E-08
3,7;4,486408E-08
3,8;4,529949E-08
3,9;4,576816E-08
4;4,617074E-08
4,1;4,659508E-08
4,2;4,692471E-08
4,3;4,718789E-08
4,4;4,767255E-08
4,5;4,812945E-08
4,6;4,840949E-08
4,7;4,884205E-08
4,8;4,904094E-08
4,9;4,934215E-08
5;4,973742E-08
