Tensao [V];Corrente [A]
-5;-3,364275E-10
-4,9;-3,110848E-10
-4,8;-2,95604E-10
-4,7;-2,819936E-10
-4,6;-2,709921E-10
-4,5;-2,596528E-10
-4,4;-2,497712E-10
-4,3;-2,397099E-10
-4,2;-2,308538E-10
-4,1;-2,21844E-10
-4;-2,121567E-10
-3,9;-2,024063E-10
-3,8;-1,941236E-10
-3,7;-1,847496E-10
-3,6;-1,773227E-10
-3,5;-1,684417E-10
-3,4;-1,608822E-10
-3,3;-1,495614E-10
-3,2;-1,418593E-10
-3,1;-1,336001E-10
-3;-1,252107E-10
-2,9;-1,149638E-10
-2,8;-1,065819E-10
-2,7;-9,688605E-11
-2,6;-8,988253E-11
-2,5;-8,037487E-11
-2,4;-7,075573E-11
-2,3;-6,037997E-11
-2,2;-4,900599E-11
-2,1;-3,753663E-11
-2;-2,664936E-11
-1,9;-1,618191E-11
-1,8;-6,269286E-12
-1,7;3,790746E-12
-1,6;1,480321E-11
-1,5;2,548873E-11
-1,4;3,553522E-11
-1,3;4,643254E-11
-1,2;5,792924E-11
-1,1;6,938138E-11
-1;7,813733E-11
-0,9;8,806612E-11
-0,8;1,002886E-10
-0,7;1,124331E-10
-0,6;1,276105E-10
-0,5;1,511674E-10
-0,4;2,161698E-10
-0,3;3,667467E-10
-0,2;6,64895E-10
-0,1;1,108605E-09
0;1,679957E-09
0,1;2,407162E-09
0,2;2,778665E-09
0,3;3,329759E-09
0,4;3,865347E-09
0,5;4,438887E-09
0,6;4,907567E-09
0,7;5,394339E-09
0,8;5,867961E-09
0,9;6,276168E-09
1;6,63406E-09
1,1;7,018875E-09
1,2;7,322977E-09
1,3;7,638115E-09
1,4;7,880028E-09
1,5;8,132598E-09
1,6;8,332623E-09
1,7;8,523925E-09
1,8;8,701039E-09
1,9;8,85654E-09
2;9,003458E-09
2,1;9,162612E-09
2,2;9,324428E-09
2,3;9,518964E-09
2,4;9,627392E-09
2,5;9,774076E-09
2,6;9,919382E-09
2,7;1,00465E-08
2,8;1,016484E-08
2,9;1,028486E-08
3;1,037388E-08
3,1;1,05147E-08
3,2;1,063158E-08
3,3;1,073616E-08
3,4;1,08386E-08
3,5;1,09471E-08
3,6;1,102696E-08
3,7;1,113748E-08
3,8;1,124027E-08
3,9;1,130129E-08
4;1,138549E-08
4,1;1,146266E-08
4,2;1,156932E-08
4,3;1,171312E-08
4,4;1,179365E-08
4,5;1,187634E-08
4,6;1,199889E-08
4,7;1,207415E-08
4,8;1,212004E-08
4,9;1,223752E-08
5;1,229277E-08
