Tensao [V];Corrente [A]
-5;-3,125914E-10
-4,9;-2,759515E-10
-4,8;-2,564239E-10
-4,7;-2,406169E-10
-4,6;-2,272085E-10
-4,5;-2,150494E-10
-4,4;-2,036115E-10
-4,3;-1,949054E-10
-4,2;-1,829028E-10
-4,1;-1,738907E-10
-4;-1,644391E-10
-3,9;-1,563658E-10
-3,8;-1,468138E-10
-3,7;-1,381386E-10
-3,6;-1,288332E-10
-3,5;-1,218832E-10
-3,4;-1,11499E-10
-3,3;-1,015272E-10
-3,2;-9,129914E-11
-3,1;-8,248776E-11
-3;-7,280578E-11
-2,9;-6,535172E-11
-2,8;-5,961785E-11
-2,7;-5,341207E-11
-2,6;-4,497349E-11
-2,5;-3,535094E-11
-2,4;-2,47711E-11
-2,3;-1,048221E-11
-2,2;2,628983E-12
-2,1;1,914596E-11
-2;3,253837E-11
-1,9;4,761632E-11
-1,8;6,150291E-11
-1,7;7,901681E-11
-1,6;1,00194E-10
-1,5;1,338199E-10
-1,4;1,803242E-10
-1,3;2,586156E-10
-1,2;3,686071E-10
-1,1;5,17773E-10
-1;7,177796E-10
-0,9;9,842717E-10
-0,8;1,31384E-09
-0,7;1,741841E-09
-0,6;2,427781E-09
-0,5;2,987503E-09
-0,4;3,910095E-09
-0,3;5,021257E-09
-0,2;6,355906E-09
-0,1;7,758433E-09
0;9,291981E-09
0,1;1,086079E-08
0,2;1,240589E-08
0,3;1,393708E-08
0,4;1,542383E-08
0,5;1,687397E-08
0,6;1,831996E-08
0,7;1,967217E-08
0,8;2,099249E-08
0,9;2,282711E-08
1;2,404833E-08
1,1;2,513018E-08
1,2;2,613049E-08
1,3;2,70758E-08
1,4;2,803964E-08
1,5;2,898535E-08
1,6;2,975717E-08
1,7;3,053305E-08
1,8;3,120109E-08
1,9;3,19753E-08
2;3,271832E-08
2,1;3,335721E-08
2,2;3,3944E-08
2,3;3,441674E-08
2,4;3,511134E-08
2,5;3,568479E-08
2,6;3,624363E-08
2,7;3,674899E-08
2,8;3,726118E-08
2,9;3,773282E-08
3;3,820627E-08
3,1;3,873777E-08
3,2;3,915019E-08
3,3;3,965217E-08
3,4;3,994467E-08
3,5;4,035946E-08
3,6;4,077237E-08
3,7;4,108864E-08
3,8;4,162764E-08
3,9;4,192344E-08
4;4,217753E-08
4,1;4,257812E-08
4,2;4,300686E-08
4,3;4,325467E-08
4,4;4,362898E-08
4,5;4,391884E-08
4,6;4,43583E-08
4,7;4,459569E-08
4,8;4,494117E-08
4,9;4,540466E-08
5;4,57061E-08
