Tensao [V];Corrente [A]
-10;-1,185505E-09
-9,95;-1,163507E-09
-9,9;-1,150408E-09
-9,85;-1,135167E-09
-9,8;-1,124467E-09
-9,75;-1,11652E-09
-9,7;-1,103706E-09
-9,65;-1,095185E-09
-9,6;-1,087132E-09
-9,55;-1,078538E-09
-9,5;-1,07023E-09
-9,45;-1,062171E-09
-9,4;-1,053652E-09
-9,35;-1,04414E-09
-9,3;-1,035489E-09
-9,25;-1,025932E-09
-9,2;-1,018502E-09
-9,15;-1,010528E-09
-9,1;-1,000938E-09
-9,05;-9,940128E-10
-9;-9,847713E-10
-8,95;-9,766866E-10
-8,9;-9,693251E-10
-8,85;-9,611107E-10
-8,8;-9,536131E-10
-8,75;-9,44591E-10
-8,7;-9,371542E-10
-8,65;-9,294062E-10
-8,6;-9,231855E-10
-8,55;-9,140525E-10
-8,5;-9,074173E-10
-8,45;-8,992971E-10
-8,4;-8,916966E-10
-8,35;-8,820429E-10
-8,3;-8,761771E-10
-8,25;-8,682129E-10
-8,2;-8,633446E-10
-8,15;-8,555903E-10
-8,1;-8,516297E-10
-8,05;-8,442353E-10
-8;-8,365543E-10
-7,95;-8,284415E-10
-7,9;-8,189771E-10
-7,85;-8,126839E-10
-7,8;-8,038706E-10
-7,75;-7,963242E-10
-7,7;-7,883522E-10
-7,65;-7,816949E-10
-7,6;-7,741069E-10
-7,55;-7,664265E-10
-7,5;-7,57694E-10
-7,45;-7,516783E-10
-7,4;-7,421334E-10
-7,35;-7,338397E-10
-7,3;-7,245701E-10
-7,25;-7,168968E-10
-7,2;-7,118271E-10
-7,15;-7,069298E-10
-7,1;-7,00864E-10
-7,05;-6,936738E-10
-7;-6,873994E-10
-6,95;-6,773022E-10
-6,9;-6,701301E-10
-6,85;-6,617766E-10
-6,8;-6,547933E-10
-6,75;-6,458204E-10
-6,7;-6,36561E-10
-6,65;-6,305605E-10
-6,6;-6,208308E-10
-6,55;-6,124249E-10
-6,5;-6,012727E-10
-6,45;-5,945645E-10
-6,4;-5,850272E-10
-6,35;-5,755605E-10
-6,3;-5,657732E-10
-6,25;-5,579721E-10
-6,2;-5,481751E-10
-6,15;-5,39604E-10
-6,1;-5,313143E-10
-6,05;-5,261336E-10
-6;-5,181968E-10
-5,95;-5,094838E-10
-5,9;-5,011033E-10
-5,85;-4,931061E-10
-5,8;-4,85369E-10
-5,75;-4,755705E-10
-5,7;-4,675736E-10
-5,65;-4,586063E-10
-5,6;-4,502507E-10
-5,55;-4,415334E-10
-5,5;-4,336022E-10
-5,45;-4,275552E-10
-5,4;-4,198486E-10
-5,35;-4,110378E-10
-5,3;-4,019622E-10
-5,25;-3,9323E-10
-5,2;-3,858533E-10
-5,15;-3,767153E-10
-5,1;-3,683049E-10
-5,05;-3,610618E-10
-5;-3,536433E-10
-4,95;-3,469478E-10
-4,9;-3,375536E-10
-4,85;-3,298853E-10
-4,8;-3,198486E-10
-4,75;-3,09816E-10
-4,7;-2,998312E-10
-4,65;-2,905645E-10
-4,6;-2,836017E-10
-4,55;-2,753719E-10
-4,5;-2,679667E-10
-4,45;-2,608473E-10
-4,4;-2,531444E-10
-4,35;-2,436621E-10
-4,3;-2,333256E-10
-4,25;-2,2317E-10
-4,2;-2,144377E-10
-4,15;-2,046414E-10
-4,1;-1,969313E-10
-4,05;-1,886673E-10
-4;-1,813038E-10
-3,95;-1,732786E-10
-3,9;-1,665342E-10
-3,85;-1,571141E-10
-3,8;-1,482152E-10
-3,75;-1,370916E-10
-3,7;-1,263051E-10
-3,65;-1,153986E-10
-3,6;-1,045766E-10
-3,55;-9,535765E-11
-3,5;-8,640955E-11
-3,45;-7,768824E-11
-3,4;-6,885902E-11
-3,35;-6,06279E-11
-3,3;-5,069693E-11
-3,25;-4,014699E-11
-3,2;-2,907007E-11
-3,15;-1,953001E-11
-3,1;-7,704255E-12
-3,05;2,307687E-12
-3;1,234921E-11
-2,95;2,10928E-11
-2,9;2,952508E-11
-2,85;4,050299E-11
-2,8;4,865341E-11
-2,75;5,955654E-11
-2,7;6,822659E-11
-2,65;8,155398E-11
-2,6;9,144965E-11
-2,55;1,017939E-10
-2,5;1,119764E-10
-2,45;1,210412E-10
-2,4;1,327237E-10
-2,35;1,404782E-10
-2,3;1,530213E-10
-2,25;1,631865E-10
-2,2;1,759942E-10
-2,15;1,877553E-10
-2,1;1,989134E-10
-2,05;2,086277E-10
-2;2,200947E-10
-1,95;2,263895E-10
-1,9;2,353219E-10
-1,85;2,450275E-10
-1,8;2,564061E-10
-1,75;2,676231E-10
-1,7;2,790409E-10
-1,65;2,943883E-10
-1,6;3,078296E-10
-1,55;3,188259E-10
-1,5;3,327478E-10
-1,45;3,445481E-10
-1,4;3,581413E-10
-1,35;3,634363E-10
-1,3;3,766335E-10
-1,25;3,894376E-10
-1,2;4,00831E-10
-1,15;4,160779E-10
-1,1;4,282986E-10
-1,05;4,480546E-10
-1;4,606804E-10
-0,95;4,773528E-10
-0,9;4,885646E-10
-0,85;5,029978E-10
-0,8;5,107377E-10
-0,75;5,236999E-10
-0,7;5,391108E-10
-0,65;5,539629E-10
-0,6;5,748034E-10
-0,55;5,893969E-10
-0,5;6,085309E-10
-0,45;6,359493E-10
-0,4;6,657297E-10
-0,35;7,031404E-10
-0,3;7,499181E-10
-0,25;8,202587E-10
-0,2;9,005343E-10
-0,15;1,005176E-09
-0,1;1,121713E-09
-0,05;1,277796E-09
0;1,472493E-09
0,05;1,617258E-09
0,1;1,78608E-09
0,15;1,957196E-09
0,2;2,181523E-09
0,25;2,353754E-09
0,3;2,584703E-09
0,35;2,804401E-09
0,4;3,036511E-09
0,45;3,289378E-09
0,5;3,560118E-09
0,55;3,845199E-09
0,6;4,066603E-09
0,65;4,376639E-09
0,7;4,653717E-09
0,75;4,958049E-09
0,8;5,300486E-09
0,85;5,559976E-09
0,9;5,915326E-09
0,95;6,254054E-09
1;6,593972E-09
1,05;6,87878E-09
1,1;7,270552E-09
1,15;7,552004E-09
1,2;7,908319E-09
1,25;8,160185E-09
1,3;8,571945E-09
1,35;8,809449E-09
1,4;9,161585E-09
1,45;9,449741E-09
1,5;9,658204E-09
1,55;1,021158E-08
1,6;1,029468E-08
1,65;1,076616E-08
1,7;1,096967E-08
1,75;1,136457E-08
1,8;1,157785E-08
1,85;1,200338E-08
1,9;1,207044E-08
1,95;1,243081E-08
2;1,261728E-08
2,05;1,294381E-08
2,1;1,320278E-08
2,15;1,352188E-08
2,2;1,375184E-08
2,25;1,404332E-08
2,3;1,437794E-08
2,35;1,447832E-08
2,4;1,495027E-08
2,45;1,499692E-08
2,5;1,544004E-08
2,55;1,553761E-08
2,6;1,585476E-08
2,65;1,61466E-08
2,7;1,625279E-08
2,75;1,66053E-08
2,8;1,664882E-08
2,85;1,699248E-08
2,9;1,712794E-08
2,95;1,750865E-08
3;1,754886E-08
3,05;1,80122E-08
3,1;1,80849E-08
3,15;1,821875E-08
3,2;1,856166E-08
3,25;1,862658E-08
3,3;1,897147E-08
3,35;1,899062E-08
3,4;1,933031E-08
3,45;1,931501E-08
3,5;1,963156E-08
3,55;1,97568E-08
3,6;1,997985E-08
3,65;2,018515E-08
3,7;2,022318E-08
3,75;2,060547E-08
3,8;2,061655E-08
3,85;2,088634E-08
3,9;2,073978E-08
3,95;2,136031E-08
4;2,158063E-08
4,05;2,159204E-08
4,1;2,175039E-08
4,15;2,180846E-08
4,2;2,197847E-08
4,25;2,197221E-08
4,3;2,236378E-08
4,35;2,244578E-08
4,4;2,27985E-08
4,45;2,279737E-08
4,5;2,283974E-08
4,55;2,338994E-08
4,6;2,286143E-08
4,65;2,394703E-08
4,7;2,317091E-08
4,75;2,416569E-08
4,8;2,390615E-08
4,85;2,410864E-08
4,9;2,443063E-08
4,95;2,378088E-08
5;2,48918E-08
5,05;2,420921E-08
5,1;2,49476E-08
5,15;2,490709E-08
5,2;2,497746E-08
5,25;2,46858E-08
5,3;2,516154E-08
5,35;2,508729E-08
5,4;2,545818E-08
5,45;2,579887E-08
5,5;2,556174E-08
5,55;2,591344E-08
5,6;2,584336E-08
5,65;2,602454E-08
5,7;2,593488E-08
5,75;2,603608E-08
5,8;2,617777E-08
5,85;2,688268E-08
5,9;2,618856E-08
5,95;2,66422E-08
6;2,671742E-08
6,05;2,689271E-08
6,1;2,673084E-08
6,15;2,720117E-08
6,2;2,713672E-08
6,25;2,753331E-08
6,3;2,717344E-08
6,35;2,77328E-08
6,4;2,72818E-08
6,45;2,760968E-08
6,5;2,76948E-08
6,55;2,810522E-08
6,6;2,792014E-08
6,65;2,828137E-08
6,7;2,805505E-08
6,75;2,791573E-08
6,8;2,844423E-08
6,85;2,764806E-08
6,9;2,874216E-08
6,95;2,815133E-08
7;2,872725E-08
7,05;2,858555E-08
7,1;2,905911E-08
7,15;2,846255E-08
7,2;2,889889E-08
7,25;2,86179E-08
7,3;2,907382E-08
7,35;2,899231E-08
7,4;2,901674E-08
7,45;2,95015E-08
7,5;2,928269E-08
7,55;2,944432E-08
7,6;2,942174E-08
7,65;2,926475E-08
7,7;2,96576E-08
7,75;2,972456E-08
7,8;2,977959E-08
7,85;2,975491E-08
7,9;2,999138E-08
7,95;3,010686E-08
8;2,9709E-08
8,05;3,005368E-08
8,1;3,001619E-08
8,15;3,024138E-08
8,2;3,040591E-08
8,25;3,023147E-08
8,3;3,108073E-08
8,35;3,033683E-08
8,4;3,102131E-08
8,45;3,026046E-08
8,5;3,077741E-08
8,55;3,065043E-08
8,6;3,07526E-08
8,65;3,078896E-08
8,7;3,124273E-08
8,75;3,090558E-08
8,8;3,079899E-08
8,85;3,075096E-08
8,9;3,096952E-08
8,95;3,116248E-08
9;3,107772E-08
9,05;3,163796E-08
9,1;3,128612E-08
9,15;3,175532E-08
9,2;3,141112E-08
9,25;3,16002E-08
9,3;3,12599E-08
9,35;3,169135E-08
9,4;3,208984E-08
9,45;3,168444E-08
9,5;3,193097E-08
9,55;3,216796E-08
9,6;3,192106E-08
9,65;3,183634E-08
9,7;3,227942E-08
9,75;3,186954E-08
9,8;3,262987E-08
9,85;3,260932E-08
9,9;3,238737E-08
9,95;3,226275E-08
10;3,241696E-08
