Tensao [V];Corrente [A]
-10;-1,372559E-09
-9,95;-1,327009E-09
-9,9;-1,293061E-09
-9,85;-1,263207E-09
-9,8;-1,242861E-09
-9,75;-1,223899E-09
-9,7;-1,20697E-09
-9,65;-1,196767E-09
-9,6;-1,184377E-09
-9,55;-1,178296E-09
-9,5;-1,165298E-09
-9,45;-1,158714E-09
-9,4;-1,146513E-09
-9,35;-1,136561E-09
-9,3;-1,12656E-09
-9,25;-1,120639E-09
-9,2;-1,112634E-09
-9,15;-1,104115E-09
-9,1;-1,09571E-09
-9,05;-1,084527E-09
-9;-1,07915E-09
-8,95;-1,069299E-09
-8,9;-1,062809E-09
-8,85;-1,053182E-09
-8,8;-1,046337E-09
-8,75;-1,037604E-09
-8,7;-1,026236E-09
-8,65;-1,018378E-09
-8,6;-1,011313E-09
-8,55;-1,002831E-09
-8,5;-9,964106E-10
-8,45;-9,868379E-10
-8,4;-9,786933E-10
-8,35;-9,7355E-10
-8,3;-9,666249E-10
-8,25;-9,593436E-10
-8,2;-9,471418E-10
-8,15;-9,423888E-10
-8,1;-9,310819E-10
-8,05;-9,265887E-10
-8;-9,182034E-10
-7,95;-9,130647E-10
-7,9;-9,028577E-10
-7,85;-8,962353E-10
-7,8;-8,882302E-10
-7,75;-8,836637E-10
-7,7;-8,70196E-10
-7,65;-8,646642E-10
-7,6;-8,543342E-10
-7,55;-8,475305E-10
-7,5;-8,349261E-10
-7,45;-8,28163E-10
-7,4;-8,187249E-10
-7,35;-8,121825E-10
-7,3;-8,022237E-10
-7,25;-7,945093E-10
-7,2;-7,897824E-10
-7,15;-7,801109E-10
-7,1;-7,703069E-10
-7,05;-7,564626E-10
-7;-7,499361E-10
-6,95;-7,390362E-10
-6,9;-7,272414E-10
-6,85;-7,210643E-10
-6,8;-7,108574E-10
-6,75;-7,064259E-10
-6,7;-6,946107E-10
-6,65;-6,898028E-10
-6,6;-6,800484E-10
-6,55;-6,741924E-10
-6,5;-6,654617E-10
-6,45;-6,570602E-10
-6,4;-6,574444E-10
-6,35;-6,52672E-10
-6,3;-6,486169E-10
-6,25;-6,379577E-10
-6,2;-6,284527E-10
-6,15;-6,239018E-10
-6,1;-6,089493E-10
-6,05;-5,930781E-10
-6;-5,80328E-10
-5,95;-5,727748E-10
-5,9;-5,596475E-10
-5,85;-5,533885E-10
-5,8;-5,386679E-10
-5,75;-5,341861E-10
-5,7;-5,211551E-10
-5,65;-5,175779E-10
-5,6;-5,04534E-10
-5,55;-5,019223E-10
-5,5;-4,880586E-10
-5,45;-4,816839E-10
-5,4;-4,727213E-10
-5,35;-4,670825E-10
-5,3;-4,56981E-10
-5,25;-4,478982E-10
-5,2;-4,353544E-10
-5,15;-4,310085E-10
-5,1;-4,207314E-10
-5,05;-4,14285E-10
-5;-4,009348E-10
-4,95;-3,936009E-10
-4,9;-3,856958E-10
-4,85;-3,726846E-10
-4,8;-3,65975E-10
-4,75;-3,543035E-10
-4,7;-3,462833E-10
-4,65;-3,317084E-10
-4,6;-3,219076E-10
-4,55;-3,124975E-10
-4,5;-3,058926E-10
-4,45;-2,960929E-10
-4,4;-2,842746E-10
-4,35;-2,733152E-10
-4,3;-2,642411E-10
-4,25;-2,497609E-10
-4,2;-2,392465E-10
-4,15;-2,302028E-10
-4,1;-2,234203E-10
-4,05;-2,078397E-10
-4;-1,994958E-10
-3,95;-1,841855E-10
-3,9;-1,788653E-10
-3,85;-1,662957E-10
-3,8;-1,558953E-10
-3,75;-1,463246E-10
-3,7;-1,368349E-10
-3,65;-1,258414E-10
-3,6;-1,148846E-10
-3,55;-1,051902E-10
-3,5;-9,5606E-11
-3,45;-8,360255E-11
-3,4;-7,301957E-11
-3,35;-6,42983E-11
-3,3;-5,448746E-11
-3,25;-4,428441E-11
-3,2;-3,584624E-11
-3,15;-2,351802E-11
-3,1;-1,818671E-11
-3,05;-7,997139E-12
-3;4,7871E-12
-2,95;1,378068E-11
-2,9;2,25892E-11
-2,85;3,677571E-11
-2,8;5,234963E-11
-2,75;6,59993E-11
-2,7;7,711199E-11
-2,65;8,659334E-11
-2,6;9,187826E-11
-2,55;1,018915E-10
-2,5;1,102686E-10
-2,45;1,18805E-10
-2,4;1,332869E-10
-2,35;1,464795E-10
-2,3;1,639789E-10
-2,25;1,85122E-10
-2,2;2,041569E-10
-2,15;2,184463E-10
-2,1;2,298618E-10
-2,05;2,417417E-10
-2;2,549514E-10
-1,95;2,684994E-10
-1,9;2,798057E-10
-1,85;2,897284E-10
-1,8;3,012212E-10
-1,75;3,157346E-10
-1,7;3,246438E-10
-1,65;3,423427E-10
-1,6;3,539481E-10
-1,55;3,685342E-10
-1,5;3,764345E-10
-1,45;3,906223E-10
-1,4;4,105054E-10
-1,35;4,300837E-10
-1,3;4,451463E-10
-1,25;4,622925E-10
-1,2;4,865499E-10
-1,15;5,090819E-10
-1,1;5,35912E-10
-1,05;5,648302E-10
-1;6,071926E-10
-0,95;6,571427E-10
-0,9;7,143147E-10
-0,85;7,783112E-10
-0,8;8,625694E-10
-0,75;9,551995E-10
-0,7;1,051927E-09
-0,65;1,158707E-09
-0,6;1,28302E-09
-0,55;1,427309E-09
-0,5;1,580909E-09
-0,45;1,765781E-09
-0,4;1,969893E-09
-0,35;2,265458E-09
-0,3;2,464126E-09
-0,25;2,777332E-09
-0,2;3,110803E-09
-0,15;3,463579E-09
-0,1;3,87924E-09
-0,05;4,301706E-09
0;4,856757E-09
0,05;5,22477E-09
0,1;5,706008E-09
0,15;6,194432E-09
0,2;6,776962E-09
0,25;7,300346E-09
0,3;7,904984E-09
0,35;8,448671E-09
0,4;9,071615E-09
0,45;9,663575E-09
0,5;1,027669E-08
0,55;1,093248E-08
0,6;1,158678E-08
