Tensao [V];Corrente [A]
-10;-7,443017E-10
-9,95;-7,340303E-10
-9,9;-7,281247E-10
-9,85;-7,216968E-10
-9,8;-7,14952E-10
-9,75;-7,076671E-10
-9,7;-7,039755E-10
-9,65;-7,001664E-10
-9,6;-6,937702E-10
-9,55;-6,895386E-10
-9,5;-6,85475E-10
-9,45;-6,823137E-10
-9,4;-6,761595E-10
-9,35;-6,716356E-10
-9,3;-6,692751E-10
-9,25;-6,656203E-10
-9,2;-6,602375E-10
-9,15;-6,551095E-10
-9,1;-6,524759E-10
-9,05;-6,496136E-10
-9;-6,454832E-10
-8,95;-6,41154E-10
-8,9;-6,366304E-10
-8,85;-6,339607E-10
-8,8;-6,287508E-10
-8,75;-6,246191E-10
-8,7;-6,21863E-10
-8,65;-6,179861E-10
-8,6;-6,142825E-10
-8,55;-6,095646E-10
-8,5;-6,065737E-10
-8,45;-6,031897E-10
-8,4;-5,980141E-10
-8,35;-5,932799E-10
-8,3;-5,887326E-10
-8,25;-5,857739E-10
-8,2;-5,813871E-10
-8,15;-5,766066E-10
-8,1;-5,73529E-10
-8,05;-5,694098E-10
-8;-5,6452E-10
-7,95;-5,586611E-10
-7,9;-5,552738E-10
-7,85;-5,525874E-10
-7,8;-5,47995E-10
-7,75;-5,432506E-10
-7,7;-5,389841E-10
-7,65;-5,35705E-10
-7,6;-5,303142E-10
-7,55;-5,2461E-10
-7,5;-5,200449E-10
-7,45;-5,165874E-10
-7,4;-5,124351E-10
-7,35;-5,073466E-10
-7,3;-5,031685E-10
-7,25;-4,988518E-10
-7,2;-4,931172E-10
-7,15;-4,881539E-10
-7,1;-4,832638E-10
-7,05;-4,795056E-10
-7;-4,742371E-10
-6,95;-4,69428E-10
-6,9;-4,662367E-10
-6,85;-4,621769E-10
-6,8;-4,578559E-10
-6,75;-4,525319E-10
-6,7;-4,482248E-10
-6,65;-4,436325E-10
-6,6;-4,381346E-10
-6,55;-4,341399E-10
-6,5;-4,302738E-10
-6,45;-4,276101E-10
-6,4;-4,230977E-10
-6,35;-4,185332E-10
-6,3;-4,153187E-10
-6,25;-4,113087E-10
-6,2;-4,069554E-10
-6,15;-4,017613E-10
-6,1;-3,974507E-10
-6,05;-3,940975E-10
-6;-3,887795E-10
-5,95;-3,843678E-10
-5,9;-3,794544E-10
-5,85;-3,759223E-10
-5,8;-3,710345E-10
-5,75;-3,653033E-10
-5,7;-3,613949E-10
-5,65;-3,565894E-10
-5,6;-3,527225E-10
-5,55;-3,469843E-10
-5,5;-3,421961E-10
-5,45;-3,385203E-10
-5,4;-3,334119E-10
-5,35;-3,29277E-10
-5,3;-3,237204E-10
-5,25;-3,201522E-10
-5,2;-3,155613E-10
-5,15;-3,10355E-10
-5,1;-3,065764E-10
-5,05;-3,014533E-10
-5;-2,975131E-10
-4,95;-2,918215E-10
-4,9;-2,875232E-10
-4,85;-2,835044E-10
-4,8;-2,782197E-10
-4,75;-2,739904E-10
-4,7;-2,683032E-10
-4,65;-2,633692E-10
-4,6;-2,57713E-10
-4,55;-2,525472E-10
-4,5;-2,481609E-10
-4,45;-2,428809E-10
-4,4;-2,391807E-10
-4,35;-2,341055E-10
-4,3;-2,291541E-10
-4,25;-2,23993E-10
-4,2;-2,178074E-10
-4,15;-2,124836E-10
-4,1;-2,065541E-10
-4,05;-2,020464E-10
-4;-1,968889E-10
-3,95;-1,9144E-10
-3,9;-1,85725E-10
-3,85;-1,79852E-10
-3,8;-1,753429E-10
-3,75;-1,692113E-10
-3,7;-1,642194E-10
-3,65;-1,589495E-10
-3,6;-1,535726E-10
-3,55;-1,48859E-10
-3,5;-1,429295E-10
-3,45;-1,381263E-10
-3,4;-1,324065E-10
-3,35;-1,263264E-10
-3,3;-1,21511E-10
-3,25;-1,150018E-10
-3,2;-1,098837E-10
-3,15;-1,033255E-10
-3,1;-9,737398E-11
-3,05;-9,098985E-11
-3;-8,474302E-11
-2,95;-8,029404E-11
-2,9;-7,383024E-11
-2,85;-6,818883E-11
-2,8;-6,247632E-11
-2,75;-5,714125E-11
-2,7;-5,215426E-11
-2,65;-4,538655E-11
-2,6;-3,962497E-11
-2,55;-3,372619E-11
-2,5;-2,788378E-11
-2,45;-2,125817E-11
-2,4;-1,465955E-11
-2,35;-9,335549E-12
-2,3;-3,210004E-12
-2,25;2,480508E-12
-2,2;9,306022E-12
-2,15;1,513509E-11
-2,1;2,063941E-11
-2,05;2,877507E-11
-2;3,510911E-11
-1,95;4,13451E-11
-1,9;4,762519E-11
-1,85;5,498998E-11
-1,8;6,179096E-11
-1,75;6,488814E-11
-1,7;6,996835E-11
-1,65;7,560752E-11
-1,6;8,257148E-11
-1,55;8,926337E-11
-1,5;9,489142E-11
-1,45;1,052137E-10
-1,4;1,13559E-10
-1,35;1,213809E-10
-1,3;1,278632E-10
-1,25;1,338959E-10
-1,2;1,422656E-10
-1,15;1,478361E-10
-1,1;1,549901E-10
-1,05;1,631391E-10
-1;1,724013E-10
-0,95;1,809806E-10
-0,9;1,868513E-10
-0,85;1,960779E-10
-0,8;2,048327E-10
-0,75;2,129413E-10
-0,7;2,196995E-10
-0,65;2,274135E-10
-0,6;2,386353E-10
-0,55;2,465517E-10
-0,5;2,543812E-10
-0,45;2,632877E-10
-0,4;2,738194E-10
-0,35;2,853748E-10
-0,3;2,934724E-10
-0,25;3,050191E-10
-0,2;3,165901E-10
-0,15;3,306272E-10
-0,1;3,415649E-10
-0,05;3,548589E-10
0;3,720314E-10
0,05;3,831403E-10
0,1;3,96714E-10
0,15;4,088148E-10
0,2;4,198369E-10
0,25;4,32673E-10
0,3;4,477639E-10
0,35;4,598611E-10
0,4;4,732118E-10
0,45;4,885625E-10
0,5;5,051489E-10
0,55;5,207095E-10
0,6;5,343007E-10
0,65;5,517922E-10
0,7;5,695817E-10
0,75;5,87991E-10
0,8;6,025558E-10
0,85;6,208681E-10
0,9;6,388499E-10
0,95;6,578303E-10
1;6,76749E-10
1,05;6,957855E-10
1,1;7,150157E-10
1,15;7,355188E-10
1,2;7,510277E-10
1,25;7,692137E-10
1,3;7,863639E-10
1,35;8,0566E-10
1,4;8,232654E-10
1,45;8,409765E-10
1,5;8,610465E-10
1,55;8,788592E-10
1,6;8,968929E-10
1,65;9,118734E-10
1,7;9,299271E-10
1,75;9,475903E-10
1,8;9,627377E-10
1,85;9,786306E-10
1,9;9,941995E-10
1,95;1,012405E-09
2;1,027131E-09
2,05;1,039469E-09
2,1;1,05611E-09
2,15;1,070666E-09
2,2;1,085418E-09
2,25;1,101372E-09
2,3;1,113991E-09
2,35;1,129083E-09
2,4;1,141125E-09
2,45;1,1569E-09
2,5;1,169898E-09
2,55;1,186499E-09
2,6;1,199719E-09
2,65;1,212942E-09
2,7;1,225884E-09
2,75;1,24065E-09
2,8;1,255488E-09
2,85;1,268887E-09
2,9;1,27999E-09
2,95;1,29347E-09
3;1,305796E-09
3,05;1,31958E-09
3,1;1,332383E-09
3,15;1,346476E-09
3,2;1,360981E-09
3,25;1,371224E-09
3,3;1,384276E-09
3,35;1,396447E-09
3,4;1,409357E-09
3,45;1,42068E-09
3,5;1,429039E-09
3,55;1,440787E-09
3,6;1,446624E-09
3,65;1,456832E-09
3,7;1,463519E-09
3,75;1,477416E-09
3,8;1,488631E-09
3,85;1,503426E-09
3,9;1,51121E-09
3,95;1,522702E-09
4;1,536035E-09
4,05;1,548381E-09
4,1;1,557025E-09
4,15;1,568036E-09
4,2;1,578939E-09
4,25;1,590575E-09
4,3;1,597587E-09
4,35;1,608653E-09
4,4;1,620817E-09
4,45;1,630099E-09
4,5;1,638848E-09
4,55;1,648176E-09
4,6;1,659132E-09
4,65;1,669392E-09
4,7;1,678693E-09
4,75;1,68778E-09
4,8;1,696684E-09
4,85;1,70714E-09
4,9;1,714066E-09
4,95;1,720573E-09
5;1,730825E-09
5,05;1,740676E-09
5,1;1,750487E-09
5,15;1,760184E-09
5,2;1,768928E-09
5,25;1,781215E-09
5,3;1,787104E-09
5,35;1,797555E-09
5,4;1,804959E-09
5,45;1,814514E-09
5,5;1,822089E-09
5,55;1,826843E-09
5,6;1,834188E-09
5,65;1,844006E-09
5,7;1,849712E-09
5,75;1,853539E-09
5,8;1,8612E-09
5,85;1,869788E-09
5,9;1,879385E-09
5,95;1,88415E-09
6;1,891208E-09
6,05;1,896229E-09
6,1;1,907082E-09
6,15;1,911689E-09
6,2;1,917419E-09
6,25;1,924232E-09
6,3;1,930937E-09
6,35;1,936087E-09
6,4;1,941336E-09
6,45;1,950717E-09
6,5;1,954922E-09
6,55;1,961465E-09
6,6;1,963496E-09
6,65;1,972117E-09
6,7;1,977776E-09
6,75;1,987463E-09
6,8;1,991713E-09
6,85;1,999743E-09
6,9;2,002637E-09
6,95;2,013544E-09
7;2,014034E-09
7,05;2,021684E-09
7,1;2,029701E-09
7,15;2,037889E-09
7,2;2,042776E-09
7,25;2,048448E-09
7,3;2,057593E-09
7,35;2,062743E-09
7,4;2,070546E-09
7,45;2,077331E-09
7,5;2,082478E-09
7,55;2,091818E-09
7,6;2,093625E-09
7,65;2,00574E-09
7,7;2,102209E-09
7,75;2,115834E-09
7,8;2,127606E-09
7,85;2,129614E-09
7,9;2,136683E-09
7,95;2,140293E-09
8;2,145796E-09
8,05;2,152733E-09
8,1;2,157273E-09
8,15;2,163018E-09
8,2;2,168136E-09
8,25;2,178208E-09
8,3;2,183602E-09
8,35;2,18705E-09
8,4;2,195627E-09
8,45;2,199251E-09
8,5;2,202637E-09
8,55;2,207375E-09
8,6;2,213004E-09
8,65;2,218081E-09
8,7;2,221406E-09
8,75;2,225068E-09
8,8;2,229309E-09
8,85;2,235523E-09
8,9;2,240232E-09
8,95;2,247133E-09
9;2,254882E-09
9,05;2,25842E-09
9,1;2,267491E-09
9,15;2,268665E-09
9,2;2,279922E-09
9,25;2,280684E-09
9,3;2,288902E-09
9,35;2,289136E-09
9,4;2,30052E-09
9,45;2,302971E-09
9,5;2,309546E-09
9,55;2,311339E-09
9,6;2,31831E-09
9,65;2,323431E-09
9,7;2,327649E-09
9,75;2,335028E-09
9,8;2,338529E-09
9,85;2,343349E-09
9,9;2,348792E-09
9,95;2,353362E-09
10;2,355711E-09
