Tensao [V];Corrente [A]
-5;-3,453798E-10
-4,9;-3,0686E-10
-4,8;-2,896483E-10
-4,7;-2,712414E-10
-4,6;-2,593227E-10
-4,5;-2,471268E-10
-4,4;-2,356985E-10
-4,3;-2,204186E-10
-4,2;-2,124011E-10
-4,1;-2,016564E-10
-4;-1,906331E-10
-3,9;-1,794799E-10
-3,8;-1,724518E-10
-3,7;-1,649791E-10
-3,6;-1,557379E-10
-3,5;-1,480053E-10
-3,4;-1,38956E-10
-3,3;-1,347031E-10
-3,2;-1,243858E-10
-3,1;-1,175744E-10
-3;-1,049573E-10
-2,9;-1,00863E-10
-2,8;-9,318721E-11
-2,7;-8,504701E-11
-2,6;-7,548506E-11
-2,5;-6,979941E-11
-2,4;-5,998611E-11
-2,3;-5,206758E-11
-2,2;-4,364255E-11
-2,1;-3,305393E-11
-2;-2,446915E-11
-1,9;-1,197089E-11
-1,8;-4,968204E-13
-1,7;1,318674E-11
-1,6;2,502503E-11
-1,5;4,377011E-11
-1,4;6,286317E-11
-1,3;8,606536E-11
-1,2;1,155639E-10
-1,1;1,653024E-10
-1;2,506743E-10
-0,9;4,191139E-10
-0,8;7,45995E-10
-0,7;1,300029E-09
-0,6;2,676412E-09
-0,5;3,812154E-09
-0,4;6,13529E-09
-0,3;9,319159E-09
-0,2;1,314092E-08
-0,1;1,730265E-08
0;2,359235E-08
0,1;2,787968E-08
0,2;3,191015E-08
0,3;3,560066E-08
0,4;3,922736E-08
0,5;4,263846E-08
0,6;4,602173E-08
0,7;4,922172E-08
0,8;5,237366E-08
0,9;5,533645E-08
1;5,805875E-08
1,1;6,066867E-08
1,2;6,293486E-08
1,3;6,557435E-08
1,4;6,762555E-08
1,5;6,954819E-08
1,6;7,121741E-08
1,7;7,255905E-08
1,8;7,472141E-08
1,9;7,649226E-08
2;7,790875E-08
2,1;7,920369E-08
2,2;8,023603E-08
2,3;8,157618E-08
2,4;8,294347E-08
2,5;8,382219E-08
2,6;8,546333E-08
2,7;8,637597E-08
2,8;8,709415E-08
2,9;8,80538E-08
3;8,916516E-08
3,1;8,991301E-08
3,2;9,016793E-08
3,3;9,115153E-08
3,4;9,126962E-08
3,5;9,255299E-08
3,6;9,320747E-08
3,7;9,415501E-08
3,8;9,494094E-08
3,9;9,58456E-08
4;9,67342E-08
4,1;9,737575E-08
4,2;9,80382E-08
4,3;9,870558E-08
4,4;1,001268E-07
4,5;1,005995E-07
4,6;1,012352E-07
4,7;1,01901E-07
4,8;1,026625E-07
4,9;1,032527E-07
5;1,037743E-07
