Tensao [V];Corrente [A]
-5;-2,703259E-10
-4,9;-2,53664E-10
-4,8;-2,455136E-10
-4,7;-2,382413E-10
-4,6;-2,316418E-10
-4,5;-2,248898E-10
-4,4;-2,187025E-10
-4,3;-2,127916E-10
-4,2;-2,066635E-10
-4,1;-1,992564E-10
-4;-1,930902E-10
-3,9;-1,872213E-10
-3,8;-1,820272E-10
-3,7;-1,751117E-10
-3,6;-1,683151E-10
-3,5;-1,608707E-10
-3,4;-1,551939E-10
-3,3;-1,491316E-10
-3,2;-1,418655E-10
-3,1;-1,342912E-10
-3;-1,278735E-10
-2,9;-1,21586E-10
-2,8;-1,146891E-10
-2,7;-1,069537E-10
-2,6;-9,964815E-11
-2,5;-9,242922E-11
-2,4;-8,416878E-11
-2,3;-7,736106E-11
-2,2;-6,988204E-11
-2,1;-6,202661E-11
-2;-5,328439E-11
-1,9;-4,527785E-11
-1,8;-3,79487E-11
-1,7;-2,992231E-11
-1,6;-2,052127E-11
-1,5;-1,12676E-11
-1,4;-2,961336E-12
-1,3;5,180263E-12
-1,2;1,476346E-11
-1,1;2,519995E-11
-1;3,503703E-11
-0,9;4,538065E-11
-0,8;5,878944E-11
-0,7;7,278277E-11
-0,6;8,672289E-11
-0,5;1,041047E-10
-0,4;1,26875E-10
-0,3;1,579515E-10
-0,2;1,945778E-10
-0,1;2,47008E-10
0;3,067835E-10
0,1;3,626071E-10
0,2;4,281994E-10
0,3;4,916509E-10
0,4;5,587539E-10
0,5;6,248694E-10
0,6;6,880349E-10
0,7;7,466322E-10
0,8;8,070608E-10
0,9;8,584E-10
1;9,092295E-10
1,1;9,585142E-10
1,2;1,00224E-09
1,3;1,040791E-09
1,4;1,082314E-09
1,5;1,120236E-09
1,6;1,151538E-09
1,7;1,180386E-09
1,8;1,210591E-09
1,9;1,23744E-09
2;1,26184E-09
2,1;1,286968E-09
2,2;1,308448E-09
2,3;1,331096E-09
2,4;1,357711E-09
2,5;1,380094E-09
2,6;1,401622E-09
2,7;1,42271E-09
2,8;1,440804E-09
2,9;1,466403E-09
3;1,483934E-09
3,1;1,501501E-09
3,2;1,516418E-09
3,3;1,534796E-09
3,4;1,550988E-09
3,5;1,565561E-09
3,6;1,578108E-09
3,7;1,596112E-09
3,8;1,607535E-09
3,9;1,616835E-09
4;1,636546E-09
4,1;1,651711E-09
4,2;1,664498E-09
4,3;1,676306E-09
4,4;1,689388E-09
4,5;1,703706E-09
4,6;1,715774E-09
4,7;1,728839E-09
4,8;1,739778E-09
4,9;1,748656E-09
5;1,762013E-09
