Tensao [V];Corrente [A]
-1;-1,449559E-10
-0,99;-1,434684E-10
-0,98;-1,439366E-10
-0,97;-1,42142E-10
-0,96;-1,384142E-10
-0,95;-1,357973E-10
-0,94;-1,329822E-10
-0,93;-1,268865E-10
-0,92;-1,216625E-10
-0,91;-1,171978E-10
-0,9;-1,150701E-10
-0,89;-1,122698E-10
-0,88;-1,092405E-10
-0,87;-1,078819E-10
-0,86;-1,058447E-10
-0,85;-1,04325E-10
-0,84;-1,029242E-10
-0,83;-9,969677E-11
-0,82;-9,790595E-11
-0,81;-9,504749E-11
-0,8;-9,343498E-11
-0,79;-9,162435E-11
-0,78;-8,964897E-11
-0,77;-8,726612E-11
-0,76;-8,528828E-11
-0,75;-8,463435E-11
-0,74;-8,196668E-11
-0,73;-7,878499E-11
-0,72;-7,614451E-11
-0,71;-7,411347E-11
-0,7;-7,278827E-11
-0,69;-7,024443E-11
-0,68;-6,758914E-11
-0,67;-6,537225E-11
-0,66;-6,330524E-11
-0,65;-6,01743E-11
-0,64;-5,547677E-11
-0,63;-5,399803E-11
-0,62;-5,39485E-11
-0,61;-5,214524E-11
-0,6;-4,836416E-11
-0,59;-4,572247E-11
-0,58;-4,433911E-11
-0,57;-4,084531E-11
-0,56;-3,64735E-11
-0,55;-3,178835E-11
-0,54;-2,867848E-11
-0,53;-2,451224E-11
-0,52;-1,896136E-11
-0,51;-1,375602E-11
-0,5;-9,200889E-12
-0,49;-6,003133E-12
-0,48;9,020076E-14
-0,47;7,423328E-12
-0,46;1,253087E-11
-0,45;2,1775E-11
-0,44;3,256227E-11
-0,43;4,394154E-11
-0,42;5,58757E-11
-0,41;6,818259E-11
-0,4;8,432508E-11
-0,39;1,016938E-10
-0,38;1,224299E-10
-0,37;1,433827E-10
-0,36;1,705713E-10
-0,35;2,029431E-10
-0,34;2,358858E-10
-0,33;2,737554E-10
-0,32;3,164313E-10
-0,31;3,665813E-10
-0,3;4,22174E-10
-0,29;4,839957E-10
-0,28;5,546258E-10
-0,27;6,352915E-10
-0,26;7,25399E-10
-0,25;8,261464E-10
-0,24;9,378268E-10
-0,23;1,065542E-09
-0,22;1,208198E-09
-0,21;1,36762E-09
-0,2;1,539062E-09
-0,19;1,729475E-09
-0,18;1,942366E-09
-0,17;2,223642E-09
-0,16;2,424685E-09
-0,15;2,685287E-09
-0,14;2,960906E-09
-0,13;3,257253E-09
-0,12;3,570932E-09
-0,11;3,895874E-09
-0,1;4,21928E-09
-0,09;4,553938E-09
-0,08;4,898764E-09
-0,07;5,244646E-09
-0,06;5,583291E-09
-0,05;5,927771E-09
-0,04;6,275827E-09
-0,03;6,624361E-09
-0,02;6,97049E-09
-0,01;7,315958E-09
0;7,659709E-09
0,01;8,025475E-09
0,02;8,358698E-09
0,03;8,697069E-09
0,04;9,031596E-09
0,05;9,362903E-09
0,06;9,693387E-09
0,07;1,002131E-08
0,08;1,034607E-08
0,09;1,066297E-08
0,1;1,097498E-08
0,11;1,128629E-08
0,12;1,158747E-08
0,13;1,188636E-08
0,14;1,218312E-08
0,15;1,247672E-08
0,16;1,276609E-08
0,17;1,304652E-08
0,18;1,332566E-08
0,19;1,360303E-08
0,2;1,387716E-08
0,21;1,414555E-08
0,22;1,441213E-08
0,23;1,467392E-08
0,24;1,493241E-08
0,25;1,518644E-08
0,26;1,543343E-08
0,27;1,568127E-08
0,28;1,592767E-08
0,29;1,61646E-08
0,3;1,639766E-08
0,31;1,662704E-08
0,32;1,685436E-08
0,33;1,707501E-08
0,34;1,729656E-08
0,35;1,751223E-08
0,36;1,773106E-08
0,37;1,79397E-08
0,38;1,814179E-08
0,39;1,834155E-08
0,4;1,854603E-08
0,41;1,874067E-08
0,42;1,893122E-08
0,43;1,912516E-08
0,44;1,9316E-08
0,45;1,949741E-08
0,46;1,96758E-08
0,47;1,985698E-08
0,48;2,004119E-08
0,49;2,022442E-08
0,5;2,040291E-08
0,51;2,05789E-08
0,52;2,075291E-08
0,53;2,092213E-08
0,54;2,120233E-08
0,55;2,137077E-08
0,56;2,155108E-08
0,57;2,168331E-08
0,58;2,181693E-08
0,59;2,199446E-08
0,6;2,216166E-08
0,61;2,229855E-08
0,62;2,242071E-08
0,63;2,260277E-08
0,64;2,27686E-08
0,65;2,289466E-08
0,66;2,302197E-08
0,67;2,317913E-08
0,68;2,334531E-08
0,69;2,346208E-08
0,7;2,357721E-08
0,71;2,374012E-08
0,72;2,389905E-08
0,73;2,401127E-08
0,74;2,412336E-08
0,75;2,42873E-08
0,76;2,443766E-08
0,77;2,45388E-08
0,78;2,464965E-08
0,79;2,481408E-08
0,8;2,495501E-08
0,81;2,50432E-08
0,82;2,515441E-08
0,83;2,531609E-08
0,84;2,54472E-08
0,85;2,553751E-08
0,86;2,56412E-08
0,87;2,57928E-08
0,88;2,592616E-08
0,89;2,601083E-08
0,9;2,610607E-08
0,91;2,625304E-08
0,92;2,637898E-08
0,93;2,645836E-08
0,94;2,655687E-08
0,95;2,66993E-08
0,96;2,681907E-08
0,97;2,68996E-08
0,98;2,699495E-08
0,99;2,713574E-08
1;2,725364E-08
