Tensao [V];Corrente [A]
-10;-1,212972E-09
-9,75;-1,129259E-09
-9,5;-1,070757E-09
-9,25;-1,021597E-09
-9;-9,806641E-10
-8,75;-9,457253E-10
-8,5;-9,104147E-10
-8,25;-8,75015E-10
-8;-8,421933E-10
-7,75;-8,107052E-10
-7,5;-7,779034E-10
-7,25;-7,4288E-10
-7;-7,103537E-10
-6,75;-6,803211E-10
-6,5;-6,496845E-10
-6,25;-6,146308E-10
-6;-5,809527E-10
-5,75;-5,486574E-10
-5,5;-5,178255E-10
-5,25;-4,835569E-10
-5;-4,49309E-10
-4,75;-4,183282E-10
-4,5;-3,862732E-10
-4,25;-3,505632E-10
-4;-3,16303E-10
-3,75;-2,820204E-10
-3,5;-2,467124E-10
-3,25;-2,099605E-10
-3;-1,731293E-10
-2,75;-1,365085E-10
-2,5;-1,007152E-10
-2,25;-5,860074E-11
-2;-1,505593E-11
-1,75;2,901055E-11
-1,5;7,785512E-11
-1,25;1,371484E-10
-1;2,07411E-10
-0,75;3,653084E-10
-0,5;8,959496E-10
-0,25;3,160178E-09
0;5,774325E-09
0,25;8,232162E-09
0,5;1,100153E-08
0,75;1,348363E-08
1;1,571081E-08
1,25;1,767997E-08
1,5;1,937348E-08
1,75;2,081969E-08
2;2,253798E-08
2,25;2,367694E-08
2,5;2,467311E-08
2,75;2,554812E-08
3;2,63255E-08
3,25;2,703584E-08
3,5;2,768414E-08
3,75;2,829371E-08
4;2,887961E-08
4,25;2,943769E-08
4,5;2,996258E-08
4,75;3,046067E-08
5;3,092316E-08
5,25;3,134322E-08
5,5;3,173828E-08
5,75;3,211246E-08
6;3,245475E-08
6,25;3,277333E-08
6,5;3,307626E-08
6,75;3,335909E-08
7;3,364116E-08
7,25;3,390613E-08
7,5;3,416328E-08
7,75;3,440674E-08
8;3,46469E-08
8,25;3,488204E-08
8,5;3,511265E-08
8,75;3,533394E-08
9;3,556091E-08
9,25;3,577314E-08
9,5;3,598427E-08
9,75;3,618558E-08
10;3,638596E-08
