Tensao [V];Corrente [A]
-10;-5,230776E-10
-9,75;-4,820993E-10
-9,5;-4,611675E-10
-9,25;-4,430541E-10
-9;-4,279918E-10
-8,75;-4,140176E-10
-8,5;-3,994315E-10
-8,25;-3,844054E-10
-8;-3,698674E-10
-7,75;-3,548824E-10
-7,5;-3,410567E-10
-7,25;-3,283565E-10
-7;-3,135301E-10
-6,75;-2,98898E-10
-6,5;-2,845892E-10
-6,25;-2,704884E-10
-6;-2,557388E-10
-5,75;-2,425655E-10
-5,5;-2,286716E-10
-5,25;-2,133052E-10
-5;-1,990422E-10
-4,75;-1,858652E-10
-4,5;-1,716392E-10
-4,25;-1,570085E-10
-4;-1,427085E-10
-3,75;-1,289494E-10
-3,5;-1,153972E-10
-3,25;-1,00915E-10
-3;-8,615918E-11
-2,75;-7,248433E-11
-2,5;-5,899659E-11
-2,25;-4,520539E-11
-2;-3,139445E-11
-1,75;-1,711906E-11
-1,5;-2,734666E-12
-1,25;1,13427E-11
-1;2,467082E-11
-0,75;3,845348E-11
-0,5;5,287515E-11
-0,25;6,719898E-11
0;7,071488E-11
0,25;7,908432E-11
0,5;9,058326E-11
0,75;1,0258E-10
1;1,150041E-10
1,25;1,277019E-10
1,5;1,414066E-10
1,75;1,544436E-10
2;1,685308E-10
2,25;1,818566E-10
2,5;1,955214E-10
2,75;2,082243E-10
3;2,215509E-10
3,25;2,362005E-10
3,5;2,487746E-10
3,75;2,616334E-10
4;2,758594E-10
4,25;2,87596E-10
4,5;3,018332E-10
4,75;3,152293E-10
5;3,289727E-10
5,25;3,425233E-10
5,5;3,560089E-10
5,75;3,686412E-10
6;3,823792E-10
6,25;3,965136E-10
6,5;4,099963E-10
6,75;4,232016E-10
7;4,378726E-10
7,25;4,52835E-10
7,5;4,665064E-10
7,75;4,800985E-10
8;4,928831E-10
8,25;5,069022E-10
8,5;5,210108E-10
8,75;5,357818E-10
9;5,488297E-10
9,25;5,627995E-10
9,5;5,764862E-10
9,75;5,897946E-10
10;6,04131E-10
