Tensao [V];Corrente [A]
-10;-1,15932E-09
-9,7;-1,066912E-09
-9,4;-1,004537E-09
-9,1;-9,548092E-10
-8,8;-9,078365E-10
-8,5;-8,636858E-10
-8,2;-8,218424E-10
-7,9;-7,858223E-10
-7,6;-7,490583E-10
-7,3;-7,085367E-10
-7;-6,692816E-10
-6,7;-6,341768E-10
-6,4;-5,983151E-10
-6,1;-5,582008E-10
-5,8;-5,187389E-10
-5,5;-4,84117E-10
-5,2;-4,494657E-10
-4,9;-4,114119E-10
-4,6;-3,696541E-10
-4,3;-3,315609E-10
-4;-2,954159E-10
-3,7;-2,534845E-10
-3,4;-2,091768E-10
-3,1;-1,687032E-10
-2,8;-1,254223E-10
-2,5;-7,917011E-11
-2,2;-2,949618E-11
-1,9;2,196005E-11
-1,6;7,800011E-11
-1,3;1,423786E-10
-1;2,191641E-10
-0,7;3,868024E-10
-0,4;1,009853E-09
-0,1;3,430006E-09
0,2;5,283489E-09
0,5;7,455871E-09
0,8;9,537982E-09
1,1;1,135228E-08
1,4;1,29004E-08
1,7;1,419908E-08
2;1,530507E-08
2,3;1,62523E-08
2,6;1,709063E-08
2,9;1,784502E-08
3,2;1,851475E-08
3,5;1,910602E-08
3,8;1,964866E-08
4,1;2,01703E-08
4,4;2,065924E-08
4,7;2,126493E-08
5;2,170111E-08
5,3;2,207086E-08
5,6;2,240842E-08
5,9;2,271881E-08
6,2;2,299496E-08
6,5;2,324619E-08
6,8;2,348512E-08
7,1;2,372025E-08
7,4;2,393489E-08
7,7;2,413192E-08
8;2,43347E-08
8,3;2,453663E-08
8,6;2,472661E-08
8,9;2,490588E-08
9,2;2,508202E-08
9,5;2,52641E-08
9,8;2,543807E-08
