Tensao [V];Corrente [A]
-10;-1,212291E-09
-9,75;-1,130104E-09
-9,5;-1,070783E-09
-9,25;-1,020693E-09
-9;-9,81374E-10
-8,75;-9,473796E-10
-8,5;-9,111966E-10
-8,25;-8,733535E-10
-8;-8,401634E-10
-7,75;-8,08583E-10
-7,5;-7,748305E-10
-7,25;-7,412087E-10
-7;-7,08824E-10
-6,75;-6,772733E-10
-6,5;-6,456943E-10
-6,25;-6,123596E-10
-6;-5,808039E-10
-5,75;-5,496103E-10
-5,5;-5,170341E-10
-5,25;-4,807131E-10
-5;-4,481213E-10
-4,75;-4,17253E-10
-4,5;-3,851269E-10
-4,25;-3,514956E-10
-4;-3,206895E-10
-3,75;-2,871153E-10
-3,5;-2,502382E-10
-3,25;-2,091346E-10
-3;-1,700405E-10
-2,75;-1,33234E-10
-2,5;-9,579356E-11
-2,25;-5,327791E-11
-2;-1,021239E-11
-1,75;3,524121E-11
-1,5;8,401643E-11
-1,25;1,413729E-10
-1;2,121566E-10
-0,75;3,693038E-10
-0,5;8,979845E-10
-0,25;3,145486E-09
0;5,762288E-09
0,25;8,217913E-09
0,5;1,097821E-08
0,75;1,345216E-08
1;1,56737E-08
1,25;1,763727E-08
1,5;1,933122E-08
1,75;2,077476E-08
2;2,249935E-08
2,25;2,362108E-08
2,5;2,461712E-08
2,75;2,550333E-08
3;2,628023E-08
3,25;2,697897E-08
3,5;2,763357E-08
3,75;2,824704E-08
4;2,883202E-08
4,25;2,937653E-08
4,5;2,990457E-08
4,75;3,041764E-08
5;3,086727E-08
5,25;3,128299E-08
5,5;3,168264E-08
5,75;3,205707E-08
6;3,239852E-08
6,25;3,271319E-08
6,5;3,30136E-08
6,75;3,331202E-08
7;3,359085E-08
7,25;3,384686E-08
7,5;3,409044E-08
7,75;3,435438E-08
8;3,460121E-08
8,25;3,482667E-08
8,5;3,504708E-08
8,75;3,52796E-08
9;3,550503E-08
9,25;3,570912E-08
9,5;3,591608E-08
9,75;3,612491E-08
10;3,632532E-08
