Tensao [V];Corrente [A]
-10;-1,078455E-09
-9,75;-1,011553E-09
-9,5;-9,645974E-10
-9,25;-9,279297E-10
-9;-8,964109E-10
-8,75;-8,633528E-10
-8,5;-8,309382E-10
-8,25;-8,017434E-10
-8;-7,763976E-10
-7,75;-7,50256E-10
-7,5;-7,192488E-10
-7,25;-6,907103E-10
-7;-6,620007E-10
-6,75;-6,315587E-10
-6,5;-5,976259E-10
-6,25;-5,676569E-10
-6;-5,394298E-10
-5,75;-5,104584E-10
-5,5;-4,784403E-10
-5,25;-4,511034E-10
-5;-4,257386E-10
-4,75;-3,963383E-10
-4,5;-3,622888E-10
-4,25;-3,327336E-10
-4;-3,054546E-10
-3,75;-2,753436E-10
-3,5;-2,400197E-10
-3,25;-2,084484E-10
-3;-1,792781E-10
-2,75;-1,509986E-10
-2,5;-1,136116E-10
-2,25;-7,735151E-11
-2;-4,274346E-11
-1,75;-6,615919E-12
-1,5;3,599642E-11
-1,25;7,974321E-11
-1;1,238963E-10
-0,75;1,751209E-10
-0,5;2,6174E-10
-0,25;7,780233E-10
0;3,245664E-09
0,25;4,74733E-09
0,5;6,875721E-09
0,75;8,764036E-09
1;1,034579E-08
1,25;1,166998E-08
1,5;1,27672E-08
1,75;1,368987E-08
2;1,448548E-08
2,25;1,518425E-08
2,5;1,581832E-08
2,75;1,641839E-08
3;1,697789E-08
3,25;1,747572E-08
3,5;1,792199E-08
3,75;1,833465E-08
4;1,872096E-08
4,25;1,906984E-08
4,5;1,939184E-08
4,75;1,969672E-08
5;1,998284E-08
5,25;2,023993E-08
5,5;2,047056E-08
5,75;2,068569E-08
6;2,088723E-08
6,25;2,113846E-08
6,5;2,131785E-08
6,75;2,147688E-08
7;2,16242E-08
7,25;2,176563E-08
7,5;2,190338E-08
7,75;2,203296E-08
8;2,216444E-08
8,25;2,229289E-08
8,5;2,241945E-08
8,75;2,254097E-08
9;2,266126E-08
9,25;2,278229E-08
9,5;2,290003E-08
9,75;2,301479E-08
10;2,312551E-08
