Tensao [V];Corrente [A]
-10;-1,899067E-09
-9,75;-1,752E-09
-9,5;-1,661917E-09
-9,25;-1,58995E-09
-9;-1,522767E-09
-8,75;-1,464363E-09
-8,5;-1,408652E-09
-8,25;-1,36208E-09
-8;-1,310796E-09
-7,75;-1,264072E-09
-7,5;-1,219784E-09
-7,25;-1,177066E-09
-7;-1,135153E-09
-6,75;-1,089487E-09
-6,5;-1,049022E-09
-6,25;-1,008301E-09
-6;-9,679419E-10
-5,75;-9,235051E-10
-5,5;-8,814399E-10
-5,25;-8,402806E-10
-5;-7,989115E-10
-4,75;-7,553929E-10
-4,5;-7,135003E-10
-4,25;-6,703047E-10
-4;-6,302846E-10
-3,75;-5,868197E-10
-3,5;-5,448205E-10
-3,25;-5,057378E-10
-3;-4,630288E-10
-2,75;-4,210818E-10
-2,5;-3,806801E-10
-2,25;-3,393779E-10
-2;-3,235281E-10
-1,75;-2,560878E-10
-1,5;-1,725264E-10
-1,25;-7,296736E-13
-1;6,457024E-10
-0,75;6,130289E-09
-0,5;3,855198E-08
-0,25;2,022885E-07
0;4,476685E-07
0,25;7,049902E-07
0,5;9,697245E-07
0,75;1,236788E-06
1;1,491581E-06
1,25;1,713256E-06
1,5;1,891081E-06
1,75;2,025765E-06
2;2,131001E-06
2,25;2,22215E-06
2,5;2,299733E-06
2,75;2,364667E-06
3;2,418417E-06
3,25;2,46507E-06
3,5;2,507133E-06
3,75;2,544759E-06
4;2,57841E-06
4,25;2,608901E-06
4,5;2,638014E-06
4,75;2,667027E-06
5;2,695988E-06
5,25;2,725427E-06
5,5;2,755482E-06
5,75;2,786085E-06
6;2,816993E-06
6,25;2,847757E-06
6,5;2,878188E-06
6,75;2,907738E-06
7;2,936387E-06
7,25;2,964109E-06
7,5;2,990865E-06
7,75;3,01634E-06
8;3,04084E-06
8,25;3,064248E-06
8,5;3,086727E-06
8,75;3,108242E-06
9;3,128715E-06
9,25;3,148239E-06
9,5;3,166971E-06
9,75;3,184611E-06
10;3,20151E-06
