Tensao [V];Corrente [A]
-10;-1,911695E-09
-9,75;-1,756659E-09
-9,5;-1,670867E-09
-9,25;-1,599388E-09
-9;-1,540378E-09
-8,75;-1,483676E-09
-8,5;-1,431329E-09
-8,25;-1,379561E-09
-8;-1,332643E-09
-7,75;-1,286239E-09
-7,5;-1,238915E-09
-7,25;-1,197103E-09
-7;-1,152882E-09
-6,75;-1,112778E-09
-6,5;-1,068761E-09
-6,25;-1,022884E-09
-6;-9,813285E-10
-5,75;-9,406145E-10
-5,5;-9,011585E-10
-5,25;-8,585964E-10
-5;-8,148108E-10
-4,75;-7,747898E-10
-4,5;-7,30224E-10
-4,25;-6,910728E-10
-4;-6,511774E-10
-3,75;-6,091007E-10
-3,5;-5,674194E-10
-3,25;-5,233198E-10
-3;-4,855658E-10
-2,75;-4,441016E-10
-2,5;-4,00901E-10
-2,25;-3,536828E-10
-2;-3,078811E-10
-1,75;-2,63613E-10
-1,5;-1,888276E-10
-1,25;-1,482109E-11
-1;6,306013E-10
-0,75;6,175832E-09
-0,5;3,840482E-08
-0,25;2,009941E-07
0;4,447989E-07
0,25;7,004052E-07
0,5;9,632054E-07
0,75;1,228587E-06
1;1,4818E-06
1,25;1,703585E-06
1,5;1,882357E-06
1,75;2,018095E-06
2;2,124571E-06
2,25;2,216249E-06
2,5;2,294394E-06
2,75;2,359703E-06
3;2,41398E-06
3,25;2,460721E-06
3,5;2,50311E-06
3,75;2,540674E-06
4;2,574376E-06
4,25;2,60483E-06
4,5;2,633828E-06
4,75;2,662802E-06
5;2,691704E-06
5,25;2,720955E-06
5,5;2,751245E-06
5,75;2,781686E-06
6;2,812565E-06
6,25;2,843435E-06
6,5;2,873789E-06
6,75;2,903377E-06
7;2,932087E-06
7,25;2,959847E-06
7,5;2,986428E-06
7,75;3,012105E-06
8;3,036618E-06
8,25;3,060014E-06
8,5;3,081965E-06
8,75;3,103857E-06
9;3,124531E-06
9,25;3,144377E-06
9,5;3,16287E-06
9,75;3,180825E-06
10;3,197702E-06
