Tensao [V];Corrente [A]
-10;-1,848796E-09
-9,75;-1,713398E-09
-9,5;-1,6206E-09
-9,25;-1,546442E-09
-9;-1,477952E-09
-8,75;-1,418904E-09
-8,5;-1,363217E-09
-8,25;-1,309019E-09
-8;-1,254151E-09
-7,75;-1,199588E-09
-7,5;-1,152842E-09
-7,25;-1,104136E-09
-7;-1,05301E-09
-6,75;-1,007526E-09
-6,5;-9,630509E-10
-6,25;-9,220419E-10
-6;-8,768127E-10
-5,75;-8,303406E-10
-5,5;-7,880621E-10
-5,25;-7,451732E-10
-5;-7,01586E-10
-4,75;-6,53849E-10
-4,5;-6,122811E-10
-4,25;-5,687179E-10
-4;-5,222633E-10
-3,75;-4,785382E-10
-3,5;-4,333292E-10
-3,25;-3,905306E-10
-3;-3,455722E-10
-2,75;-3,000598E-10
-2,5;-2,570654E-10
-2,25;-2,105849E-10
-2;-1,644707E-10
-1,75;-1,113447E-10
-1,5;-5,319562E-11
-1,25;4,47867E-11
-1;3,437038E-10
-0,75;1,869989E-09
-0,5;1,655673E-08
-0,25;9,544673E-08
0;2,325427E-07
0,25;3,703392E-07
0,5;4,994838E-07
0,75;6,164597E-07
1;7,190299E-07
1,25;8,031399E-07
1,5;8,682872E-07
1,75;9,199644E-07
2;9,629001E-07
2,25;9,999162E-07
2,5;1,031361E-06
2,75;1,058257E-06
3;1,081948E-06
3,25;1,103585E-06
3,5;1,123172E-06
3,75;1,140462E-06
4;1,155874E-06
4,25;1,170477E-06
4,5;1,184801E-06
4,75;1,199172E-06
5;1,21352E-06
5,25;1,227965E-06
5,5;1,242394E-06
5,75;1,25687E-06
6;1,271268E-06
6,25;1,285434E-06
6,5;1,299171E-06
6,75;1,312607E-06
7;1,325631E-06
7,25;1,338114E-06
7,5;1,35004E-06
7,75;1,361491E-06
8;1,372511E-06
8,25;1,383056E-06
8,5;1,393099E-06
8,75;1,402715E-06
9;1,412002E-06
9,25;1,420774E-06
9,5;1,429119E-06
9,75;1,437106E-06
10;1,444712E-06
