Tensao [V];Corrente [A]
-10;-5,128244E-10
-9,75;-4,72279E-10
-9,5;-4,511044E-10
-9,25;-4,352634E-10
-9;-4,203475E-10
-8,75;-4,057747E-10
-8,5;-3,913669E-10
-8,25;-3,761143E-10
-8;-3,620134E-10
-7,75;-3,482977E-10
-7,5;-3,344469E-10
-7,25;-3,204637E-10
-7;-3,060952E-10
-6,75;-2,919054E-10
-6,5;-2,779864E-10
-6,25;-2,635536E-10
-6;-2,498504E-10
-5,75;-2,36464E-10
-5,5;-2,224846E-10
-5,25;-2,084618E-10
-5;-1,946285E-10
-4,75;-1,809474E-10
-4,5;-1,66948E-10
-4,25;-1,532893E-10
-4;-1,393134E-10
-3,75;-1,252139E-10
-3,5;-1,112331E-10
-3,25;-9,778742E-11
-3;-8,382028E-11
-2,75;-7,00005E-11
-2,5;-5,631203E-11
-2,25;-4,289232E-11
-2;-2,92026E-11
-1,75;-1,635256E-11
-1,5;-1,955705E-12
-1,25;1,258741E-11
-1;2,603205E-11
-0,75;3,903204E-11
-0,5;5,263274E-11
-0,25;6,667926E-11
0;7,093948E-11
0,25;7,928048E-11
0,5;9,037086E-11
0,75;1,032086E-10
1;1,165406E-10
1,25;1,283083E-10
1,5;1,402904E-10
1,75;1,528779E-10
2;1,667028E-10
2,25;1,801697E-10
2,5;1,925234E-10
2,75;2,047083E-10
3;2,182966E-10
3,25;2,321079E-10
3,5;2,459575E-10
3,75;2,590194E-10
4;2,717112E-10
4,25;2,851457E-10
4,5;2,984268E-10
4,75;3,114022E-10
5;3,234461E-10
5,25;3,370904E-10
5,5;3,500457E-10
5,75;3,631608E-10
6;3,766167E-10
6,25;3,899053E-10
6,5;4,030835E-10
6,75;4,158333E-10
7;4,2868E-10
7,25;4,429381E-10
7,5;4,561838E-10
7,75;4,700914E-10
8;4,830986E-10
8,25;4,971936E-10
8,5;5,115235E-10
8,75;5,251045E-10
9;5,385629E-10
9,25;5,510994E-10
9,5;5,635397E-10
9,75;5,770502E-10
10;5,907015E-10
