Tensao [V];Corrente [A]
-10;-1,152357E-09
-9,75;-1,077929E-09
-9,5;-1,028318E-09
-9,25;-9,846375E-10
-9;-9,453428E-10
-8,75;-9,115371E-10
-8,5;-8,794785E-10
-8,25;-8,451672E-10
-8;-8,124397E-10
-7,75;-7,816969E-10
-7,5;-7,513515E-10
-7,25;-7,206606E-10
-7;-6,892321E-10
-6,75;-6,599336E-10
-6,5;-6,312468E-10
-6,25;-5,998994E-10
-6;-5,679816E-10
-5,75;-5,40222E-10
-5,5;-5,114568E-10
-5,25;-4,788178E-10
-5;-4,44877E-10
-4,75;-4,15903E-10
-4,5;-3,88058E-10
-4,25;-3,553422E-10
-4;-3,205767E-10
-3,75;-2,900911E-10
-3,5;-2,604408E-10
-3,25;-2,268048E-10
-3;-1,905906E-10
-2,75;-1,57367E-10
-2,5;-1,250823E-10
-2,25;-8,95404E-11
-2;-4,666944E-11
-1,75;-3,550807E-12
-1,5;3,867773E-11
-1,25;8,491017E-11
-1;1,37034E-10
-0,75;1,921239E-10
-0,5;3,383921E-10
-0,25;1,367198E-09
0;5,478261E-09
0,25;7,713294E-09
0,5;1,073089E-08
0,75;1,330514E-08
1;1,551111E-08
1,25;1,740625E-08
1,5;1,900937E-08
1,75;2,03454E-08
2;2,193389E-08
2,25;2,297082E-08
2,5;2,390332E-08
2,75;2,474826E-08
3;2,553167E-08
3,25;2,623798E-08
3,5;2,687974E-08
3,75;2,747028E-08
4;2,802372E-08
4,25;2,854018E-08
4,5;2,90243E-08
4,75;2,947646E-08
5;2,987226E-08
5,25;3,023624E-08
5,5;3,055666E-08
5,75;3,085421E-08
6;3,112432E-08
6,25;3,137431E-08
6,5;3,160342E-08
6,75;3,182497E-08
7;3,203167E-08
7,25;3,222606E-08
7,5;3,241476E-08
7,75;3,259881E-08
8;3,277937E-08
8,25;3,295236E-08
8,5;3,31246E-08
8,75;3,329567E-08
9;3,346076E-08
9,25;3,361904E-08
9,5;3,377527E-08
9,75;3,393441E-08
10;3,409056E-08
