Tensao [V];Corrente [A]
-10;-1,843938E-09
-9,75;-1,708575E-09
-9,5;-1,615651E-09
-9,25;-1,543741E-09
-9;-1,477025E-09
-8,75;-1,415317E-09
-8,5;-1,361403E-09
-8,25;-1,306262E-09
-8;-1,252338E-09
-7,75;-1,198177E-09
-7,5;-1,150232E-09
-7,25;-1,102035E-09
-7;-1,052071E-09
-6,75;-1,003922E-09
-6,5;-9,565007E-10
-6,25;-9,147397E-10
-6;-8,689796E-10
-5,75;-8,219372E-10
-5,5;-7,790343E-10
-5,25;-7,345657E-10
-5;-6,90201E-10
-4,75;-6,440479E-10
-4,5;-5,998758E-10
-4,25;-5,560556E-10
-4;-5,121528E-10
-3,75;-4,674186E-10
-3,5;-4,216263E-10
-3,25;-3,796251E-10
-3;-3,365998E-10
-2,75;-2,897191E-10
-2,5;-2,449748E-10
-2,25;-1,987331E-10
-2;-1,51949E-10
-1,75;-9,926254E-11
-1,5;-3,923233E-11
-1,25;6,093841E-11
-1;3,58772E-10
-0,75;1,883482E-09
-0,5;1,658752E-08
-0,25;9,543965E-08
0;2,327844E-07
0,25;3,707294E-07
0,5;5,000172E-07
0,75;6,171214E-07
1;7,198773E-07
1,25;8,040907E-07
1,5;8,693154E-07
1,75;9,210535E-07
2;9,64115E-07
2,25;1,001239E-06
2,5;1,03282E-06
2,75;1,059768E-06
3;1,08351E-06
3,25;1,105165E-06
3,5;1,124839E-06
3,75;1,142243E-06
4;1,157727E-06
4,25;1,172309E-06
4,5;1,186626E-06
4,75;1,201029E-06
5;1,2154E-06
5,25;1,229855E-06
5,5;1,244276E-06
5,75;1,258786E-06
6;1,273092E-06
6,25;1,287423E-06
6,5;1,301237E-06
6,75;1,314662E-06
7;1,327641E-06
7,25;1,340197E-06
7,5;1,352086E-06
7,75;1,363634E-06
8;1,374838E-06
8,25;1,385429E-06
8,5;1,395443E-06
8,75;1,405037E-06
9;1,414211E-06
9,25;1,422946E-06
9,5;1,431299E-06
9,75;1,439288E-06
10;1,446893E-06
