Tensao [V];Corrente [A]
-10;-6,847448E-10
-9,75;-6,437593E-10
-9,5;-6,223537E-10
-9,25;-6,050422E-10
-9;-5,893302E-10
-8,75;-5,732851E-10
-8,5;-5,585363E-10
-8,25;-5,442706E-10
-8;-5,284123E-10
-7,75;-5,128348E-10
-7,5;-4,978078E-10
-7,25;-4,836596E-10
-7;-4,693692E-10
-6,75;-4,538513E-10
-6,5;-4,383626E-10
-6,25;-4,225857E-10
-6;-4,07127E-10
-5,75;-3,909916E-10
-5,5;-3,737755E-10
-5,25;-3,566255E-10
-5;-3,38517E-10
-4,75;-3,196429E-10
-4,5;-3,00951E-10
-4,25;-2,815531E-10
-4;-2,605367E-10
-3,75;-2,378865E-10
-3,5;-2,151772E-10
-3,25;-1,936307E-10
-3;-1,707452E-10
-2,75;-1,451243E-10
-2,5;-1,162882E-10
-2,25;-8,968876E-11
-2;-6,246146E-11
-1,75;-3,146922E-11
-1,5;5,056431E-12
-1,25;3,956619E-11
-1;7,755968E-11
-0,75;1,300978E-10
-0,5;2,128532E-10
-0,25;3,366511E-10
0;5,279229E-10
0,25;6,640539E-10
0,5;8,357069E-10
0,75;1,003334E-09
1;1,1588E-09
1,25;1,299349E-09
1,5;1,423698E-09
1,75;1,532654E-09
2;1,632632E-09
2,25;1,727381E-09
2,5;1,817197E-09
2,75;1,900762E-09
3;1,978554E-09
3,25;2,05261E-09
3,5;2,045062E-09
3,75;2,174119E-09
4;2,245659E-09
4,25;2,30494E-09
4,5;2,360909E-09
4,75;2,415682E-09
5;2,466188E-09
5,25;2,511528E-09
5,5;2,555239E-09
5,75;2,597332E-09
6;2,636717E-09
6,25;2,673594E-09
6,5;2,70837E-09
6,75;2,742055E-09
7;2,77482E-09
7,25;2,805281E-09
7,5;2,834744E-09
7,75;2,864143E-09
8;2,892857E-09
8,25;2,920486E-09
8,5;2,94716E-09
8,75;2,974013E-09
9;3,001082E-09
9,25;3,02811E-09
9,5;3,054322E-09
9,75;3,079011E-09
10;3,104396E-09
